	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
nFOMC20061212meeting.csv_MR.	0	2	5	0	0	0	5	1	1282	0	0	0	3	0	1	20	0	20	6	0	2	344	0	0	0
nFOMC20061212meeting.csv_MR.	27	0	7	0	0	0	190	3	744	24	0	5	0	0	0	0	0	0	0	0	0	8	1	0	1
nFOMC20061212meeting.csv_MR.	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0
nFOMC20061212meeting.csv_MS.	18	0	0	0	4	27	1	5	352	92	0	1	1	3	4	0	0	0	0	0	0	1	0	7	0
nFOMC20061212meeting.csv_MS.	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0
nFOMC20061212meeting.csv_MS.	10	0	0	0	0	2	5	3	664	4	5	0	0	0	8	11	2	0	99	0	9	0	10	19	1
nFOMC20061212meeting.csv_MS.	1	2	0	0	0	2	9	5	434	11	1	1	0	0	14	0	11	18	1	0	0	1	0	2	2
nFOMC20061212meeting.csv_MS.	0	0	0	0	1	0	1	0	710	1	0	0	1	0	0	2	0	24	0	0	1	44	0	8	0
nFOMC20061212meeting.csv_VICE	0	0	0	0	0	9	0	0	784	0	5	0	0	0	0	0	114	0	1	0	0	0	0	0	11
nFOMC20070816confcall.csv_CHAIRMAN	28	0	9	1	0	0	4	0	468	1	0	66	1	0	0	0	0	2	0	2	0	0	113	3	0
nFOMC20070816confcall.csv_MR.	27	37	0	0	5	0	0	0	530	114	0	71	0	0	0	0	0	0	0	1	0	1	2	0	0
nFOMC20070816confcall.csv_MR.	15	0	0	0	0	0	0	0	166	0	2	34	0	27	4	0	1	0	0	0	1	0	9	0	0
nFOMC20070816confcall.csv_MR.	2	0	0	0	0	1	0	0	119	0	0	25	10	6	0	0	1	0	0	0	0	0	0	0	0
nFOMC20070816confcall.csv_MR.	48	0	3	1	2	0	0	0	404	13	2	140	10	0	0	0	3	1	0	0	0	1	19	0	0
nFOMC20070816confcall.csv_MR.	7	0	0	0	0	7	0	0	81	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
nFOMC20070816confcall.csv_MR.	67	1	0	0	1	19	1	0	424	2	4	112	0	15	0	0	11	0	0	0	1	3	3	0	0
nFOMC20070816confcall.csv_MR.	0	1	0	0	0	0	0	0	26	0	2	4	0	0	0	0	1	0	0	0	0	0	1	2	0
nFOMC20070816confcall.csv_MR.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
nFOMC20070816confcall.csv_MR.	0	0	0	0	0	0	0	0	35	0	2	6	0	2	0	0	0	0	0	0	0	0	4	0	0
nFOMC20070816confcall.csv_MR.	12	0	4	0	0	1	0	0	132	1	0	37	64	0	0	0	1	0	0	0	0	0	0	0	0
nFOMC20070816confcall.csv_MR.	0	0	0	0	0	0	0	0	91	0	1	10	0	0	0	0	0	0	0	0	4	0	0	1	1
nFOMC20070816confcall.csv_MR.	3	0	0	0	0	1	0	0	48	0	0	1	0	3	0	0	0	0	1	0	0	0	5	0	0
nFOMC20070816confcall.csv_MR.	2	0	0	0	3	0	0	0	40	1	0	36	0	0	0	0	1	0	0	0	0	0	0	0	0
nFOMC20070816confcall.csv_MR.	1	1	0	0	0	4	0	0	65	1	0	0	0	0	0	0	0	1	0	0	3	0	0	2	0
nFOMC20070816confcall.csv_MR.	0	0	0	0	2	0	9	0	35	2	0	6	0	0	0	0	0	0	0	1	1	0	0	0	0
nFOMC20070816confcall.csv_MS.	25	1	0	0	0	0	1	0	83	0	0	14	7	0	0	0	0	0	0	0	0	0	8	0	0
nFOMC20070816confcall.csv_VICE	2	0	0	0	0	2	0	0	113	0	0	35	10	0	0	0	19	0	0	0	0	0	0	0	0
nFOMC20050503meeting.csv_CHAIRMAN	7	18	187	0	0	0	0	0	987	3	8	0	10	0	0	15	1	3	2	0	10	0	90	6	2
nFOMC20050503meeting.csv_MR.	0	0	5	0	6	7	4	0	567	0	1	0	9	0	0	1	0	11	0	0	19	4	1	0	7
nFOMC20050503meeting.csv_MR.	0	6	0	2	0	0	14	11	321	0	0	2	5	146	0	8	0	22	29	4	2	10	0	6	1
nFOMC20050503meeting.csv_MR.	0	0	28	0	0	1	5	0	476	8	0	0	18	0	0	7	0	6	0	0	27	14	0	0	5
nFOMC20050503meeting.csv_MR.	0	0	0	0	0	0	3	4	365	1	6	0	0	14	0	0	0	0	8	16	7	1	0	12	0
